page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
   6   142 image     256   256  sep     1   8  image  no     22557  0   281   281 1093B 1.7%
   6   143 smask     256   256  gray    1   8  image  no     22557  0   281   281 3977B 6.1%
   6   144 image    1862  2400  sep     1   8  image  no     22559  0  4016  4016 17.1K 0.4%
   6   145 smask    1862  2400  gray    1   8  image  no     22559  0  4016  4016 31.7K 0.7%
   6   146 image    1024  1024  cmyk    4   8  image  no     22560  0  1113  1113  243K 5.9%
   6   147 smask    1024  1024  gray    1   8  image  no     22560  0  1113  1113 36.7K 3.6%
   6   148 image    1024  1024  cmyk    4   8  image  no     22561  0  1179  1179  681K  17%
   6   149 smask    1024  1024  gray    1   8  image  no     22561  0  1179  1179  226K  22%
   6   150 image    1024  1024  cmyk    4   8  image  no     22562  0  1043  1043  338K 8.2%
   6   151 smask    1024  1024  gray    1   8  image  no     22562  0  1043  1043 48.1K 4.7%
   6   152 image    1024  1024  cmyk    4   8  image  no     22563  0  1067  1067  327K 8.0%
   6   153 smask    1024  1024  gray    1   8  image  no     22563  0  1067  1067 56.2K 5.5%
   6   154 image    4032  3024  cmyk    4   8  image  no     22564  0   780   780 17.7M  38%
   6   155 image    4032  3024  cmyk    4   8  image  no     22565  0   780   780 18.5M  40%
   6   156 image    4032  3024  cmyk    4   8  image  no     22566  0   780   780 19.3M  42%
   6   157 image     595   840  index   1   8  image  no     22567  0   302   302  201K  41%
   6   158 image     666  1000  index   1   8  image  no     22568  0   339   339  110K  17%
   6   159 image    1440   907  index   1   8  image  no     22570  0   461   461  851K  67%
   6   160 image     422   367  index   1   8  image  no     22571  0   188   188  110K  72%
   6   161 image     736   552  index   1   8  image  no     22572  0   280   283  387K  98%
   6   162 image    3024  4032  index   1   8  image  no     22573  0  1494  1494 9674K  81%
   6   163 image    1803  2404  index   1   8  image  no     22574  0   891   891 3141K  74%
   6   164 image    3024  4032  index   1   8  image  no     22575  0  1494  1494 9853K  83%
   6   165 image    1152  1536  index   1   8  image  no     22576  0   569   569  975K  56%
   6   166 image    1170  1560  index   1   8  image  no     22577  0   578   578 1685K  95%
   6   167 image    1170  1560  index   1   8  image  no     22578  0   578   578 1207K  68%
   6   168 image    1170  1560  index   1   8  image  no     22579  0   580   580 1193K  67%
   6   169 image    1280  1707  cmyk    4   8  image  no     22581  0   195   195 3192K  37%
   6   170 image    1280  1707  cmyk    4   8  image  no     22582  0   210   210 4230K  50%
   6   171 image    1280  1707  cmyk    4   8  image  no     22583  0   192   192 2819K  33%
   6   172 image    1280  1707  cmyk    4   8  image  no     22584  0   246   246 2503K  29%
   6   173 image    1280  1707  cmyk    4   8  image  no     22585  0   229   229 4195K  49%
   6   174 image    1024  1024  cmyk    4   8  image  no     22586  0   318   318  422K  10%
   6   175 smask    1024  1024  gray    1   8  image  no     22586  0   318   318 62.6K 6.1%
   6   176 image    1024  1024  cmyk    4   8  image  no     22587  0   380   380  273K 6.7%
   6   177 smask    1024  1024  gray    1   8  image  no     22587  0   380   380 48.4K 4.7%
   6   178 image    1024  1024  cmyk    4   8  image  no     22588  0   145   182  272K 6.6%
   6   179 smask    1024  1024  gray    1   8  image  no     22588  0   145   182 52.3K 5.1%
   7   180 image    1080  1920  sep     1   8  image  no     22595  0   462   462  824K  41%
   7   181 image    1920  1080  sep     1   8  image  no     22596  0   220   220  821K  41%
   7   182 image    1216  2172  sep     1   8  image  no     22605  0   315   315  438K  17%
   7   183 smask    1216  2172  gray    1   8  image  no     22605  0   315   315 2640B 0.1%
   7   184 image    1220  2172  sep     1   8  image  no     22606  0   522   522 1319K  51%
   7   185 smask    1220  2172  gray    1   8  image  no     22606  0   522   522 2656B 0.1%
   7   186 image    5846  4134  index   1   8  image  no     22607  0  1009  1009  200K 0.8%
   7   187 image    8267  5846  index   1   8  image  no     22608  0   723   723  878K 1.9%
   7   188 image    3024  4032  index   1   8  image  no     22609  0  1259  1259 8802K  74%
   7   189 image    2560  1440  cmyk    4   8  image  no     22610  0   200   200 3643K  25%
   7   190 image    2560  1440  cmyk    4   8  image  no     22611  0   200   200 6100K  42%
   7   191 image    2560  1440  cmyk    4   8  image  no     22612  0   200   200 3489K  24%
   7   192 image    2560  1440  cmyk    4   8  image  no     22597  0   200   200 5792K  40%
   7   193 image    2560  1440  cmyk    4   8  image  no     22598  0    99    99 3545K  25%
   7   194 image    1279  1706  index   1   8  image  no     22599  0   390   390 1321K  62%
   7   195 image    1279  1706  index   1   8  image  no     22600  0   411   411 1229K  58%
   7   196 image    1279  1706  index   1   8  image  no     22601  0   410   410 1107K  52%
   7   197 image    1080  1919  index   1   8  image  no     22602  0   366   366 1028K  51%
   7   198 image    1279  1706  index   1   8  image  no     22603  0   298   298 1753K  82%
   7   199 image    1140  1520  index   1   8  image  no     22604  0   266   266 1376K  81%
   8   200 image    4000  6000  cmyk    4   8  image  no     22616  0  1251  1251 36.9M  40%
   8   201 image    4000  6000  cmyk    4   8  image  no     22617  0   795   795 32.6M  36%
   8   202 image    4000  6000  cmyk    4   8  image  no     22625  0   795   795 35.5M  39%
   8   203 image    4000  6000  cmyk    4   8  image  no     22626  0   795   795 40.8M  45%
   8   204 image    4000  6000  cmyk    4   8  image  no     22627  0  1252  1252 28.2M  31%
   8   205 image    4000  6000  cmyk    4   8  image  no     22628  0   795   795 43.5M  48%
   8   206 image    4000  6000  cmyk    4   8  image  no     22629  0  1251  1251 43.4M  47%
   8   207 image    4000  2250  cmyk    4   8  image  no     22630  0   412   412 20.6M  60%
   8   208 image    6000  4000  cmyk    4   8  image  no     22631  0   263   263 32.8M  36%
   8   209 image    4000  6000  cmyk    4   8  image  no     22632  0  1251  1251 40.6M  44%
   8   210 image    4000  6000  cmyk    4   8  image  no     22618  0   795   795 47.7M  52%
   8   211 image    4000  6000  cmyk    4   8  image  no     22619  0   795   795 43.2M  47%
   8   212 image    4000  6000  cmyk    4   8  image  no     22620  0  1251  1251 44.2M  48%
   8   213 image    4000  6000  cmyk    4   8  image  no     22621  0   795   795 42.7M  47%
   8   214 image    4000  6000  cmyk    4   8  image  no     22622  0   794   794 41.3M  45%
   8   215 image     168   168  index   1   8  image  no     22623  0    80    80 9728B  34%
   8   216 image    4000  6000  cmyk    4   8  image  no     22624  0  1251  1251 42.5M  46%
   9   217 image    1024  1024  cmyk    4   8  image  no     22586  0   283   283  422K  10%
   9   218 smask    1024  1024  gray    1   8  image  no     22586  0   283   283 62.6K 6.1%
   9   219 image    1024  1024  cmyk    4   8  image  no     22587  0   279   279  273K 6.7%
   9   220 smask    1024  1024  gray    1   8  image  no     22587  0   279   279 48.4K 4.7%
   9   221 image    1024  1024  cmyk    4   8  image  no     22588  0   130   162  272K 6.6%
   9   222 smask    1024  1024  gray    1   8  image  no     22588  0   130   162 52.3K 5.1%
